Company_ID;subject;body;Date;from
COM15602;PO00111;Message Body 1;02/03/17 12:05:00;mail2@mail.com
COM15602;Re :  PO00111;Message Body 2;03/03/17 12:05:00;mail3@mail.com
COM15602;Re :  PO00111;Message Body 3;04/03/17 12:05:00;mail4@mail.com
COM12639;PO287;Message Body 4;05/03/17 12:05:00;mail5@mail.com
COM12639;RE :PO287;Message Body 5;06/03/17 12:05:00;mail6@mail.com
COM12639;RE :PO287;Message Body 6;07/03/17 12:05:00;mail7@mail.com
COM20695;Salut;Message Body 7;08/03/17 12:05:00;mail8@mail.com
COM20695;Hello;Message Body 8;09/03/17 12:05:00;mail9@mail.com
COM20695;Re : Hello;Message Body 9;10/03/17 12:05:00;mail10@mail.com
COM20695;It’s me again;Message Body 10;11/03/17 12:05:00;mail2@mail.com
COM20695;RE : It’s me again;Message Body 11;12/03/17 12:05:00;mail3@mail.com
COM7663;PO2934;Message Body 12;13/03/17 12:05:00;mail4@mail.com
COM23594;PO1023;Message Body 13;14/03/17 12:05:00;mail5@mail.com
COM23594;PO1024;Message Body 14;15/03/17 12:05:00;mail6@mail.com
COM23594;PO1025;Message Body 15;16/03/17 12:05:00;mail7@mail.com
COM12268;PO8658;Message Body 16;17/03/17 12:05:00;mail8@mail.com
COM12268;PO8659;Message Body 17;18/03/17 12:05:00;mail9@mail.com
COM12268;PO8660;Message Body 18;19/03/17 12:05:00;mail10@mail.com
COM12268;PO8661;Message Body 19;20/03/17 12:05:00;mail2@mail.com
COM18683;PO368;Message Body 20;21/03/17 12:05:00;mail3@mail.com
COM18683;PO369;Message Body 21;22/03/17 12:05:00;mail4@mail.com
COM18683;PO370;Message Body 22;23/03/17 12:05:00;mail5@mail.com
COM18683;PO371;Message Body 23;24/03/17 12:05:00;mail6@mail.com
COM23750;PO372;Message Body 24;25/03/17 12:05:00;mail7@mail.com
COM23750;PO373;Message Body 25;26/03/17 12:05:00;mail8@mail.com
COM23750;PO374;Message Body 26;27/03/17 12:05:00;mail9@mail.com
